time,lcj,hxj,fyj,hgj,
2018-5-20 11:6:27.968,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.014,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.061,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.108,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.17,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.217,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.264,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.326,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.373,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.42,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.467,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.529,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.576,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.623,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.67,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.732,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.779,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.826,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.872,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.935,0,121.15,-0.108,-1.008,
2018-5-20 11:6:28.982,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.028,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.091,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.138,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.184,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.231,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.294,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.34,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.387,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.434,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.512,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.543,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.59,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.652,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.699,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.746,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.793,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.855,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.902,0,121.15,-0.108,-1.008,
2018-5-20 11:6:29.949,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.011,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.058,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.105,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.152,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.214,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.261,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.308,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.354,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.417,0,121.15,-0.108,-1.008,
2018-5-20 11:6:30.464,0,121.15,-0.108,-1.008,
