time,lcj,hxj,fyj,hgj,
2018-5-20 13:9:40.63800,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.68500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.74700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.79400,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.84100,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.88700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.95000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:40.99700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:41.04300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.10600,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.15300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.19900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.24600,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.30900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.35500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.40200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:41.44900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.51100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.55800,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:41.60500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.66700,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:41.71400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.76100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.80800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.87000,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.91700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:41.96400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.01100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.07300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.12000,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.18200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.21300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.27600,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.32300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.38500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.43200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.47900,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.52500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.57200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.63500,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.68100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.72800,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.79100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.83700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.88400,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.93100,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:42.99300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:43.04000,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:43.08700,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:43.14900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:43.19600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:43.24300,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:43.29000,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:43.35200,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:43.39900,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:43.44600,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:43.49300,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:43.55500,0.00000,121.09500,-0.10800,-1.00800,
2018-5-20 13:9:43.60200,0.00000,121.09400,-0.10800,-1.00800,
2018-5-20 13:9:43.64900,0.00000,121.09400,-0.10800,-1.00800,
