Sec,+-,+-,
2018-5-20 12:52:45.00000,4084085.05741,521328.78960,50.57610,
2018-5-20 12:52:46.00000,4084085.05990,521328.79048,50.57644,
2018-5-20 12:52:47.00000,4084085.06230,521328.78614,50.56224,
2018-5-20 12:52:48.00000,4084085.05937,521328.78963,50.56566,
2018-5-20 12:52:49.00000,4084085.06080,521328.78718,50.57291,
2018-5-20 12:52:50.00000,4084085.06062,521328.78811,50.58931,
2018-5-20 12:52:51.00000,4084085.06206,521328.78674,50.56673,
2018-5-20 12:52:52.00000,4084085.06043,521328.78808,50.56740,
2018-5-20 12:52:53.00000,4084085.06017,521328.78740,50.57457,
2018-5-20 12:52:54.00000,4084085.06217,521328.78977,50.57241,
2018-5-20 12:52:55.00000,4084085.06163,521328.79019,50.57314,
2018-5-20 12:52:56.00000,4084085.05871,521328.78710,50.56602,
2018-5-20 12:52:57.00000,4084085.06461,521328.78656,50.56299,
2018-5-20 12:52:58.00000,4084085.05600,521328.79009,50.57182,
2018-5-20 12:52:59.00000,4084085.05896,521328.79008,50.57404,
2018-5-20 12:53:0.00000,4084085.05876,521328.78862,50.56780,
2018-5-20 12:53:1.00000,4084085.05910,521328.78814,50.57284,
2018-5-20 12:53:2.00000,4084085.06094,521328.78652,50.57271,
2018-5-20 12:53:3.00000,4084085.05896,521328.78678,50.57352,
2018-5-20 12:53:4.00000,4084085.05851,521328.78659,50.57178,
2018-5-20 12:53:5.00000,4084085.05689,521328.78689,50.56778,
2018-5-20 12:53:6.00000,4084085.06337,521328.78706,50.57248,
2018-5-20 12:53:7.00000,4084085.05869,521328.78493,50.58287,
2018-5-20 12:53:8.00000,4084085.05814,521328.78680,50.57761,
2018-5-20 12:53:9.00000,4084085.06091,521328.78785,50.56960,
2018-5-20 12:53:10.00000,4084085.06015,521328.78470,50.56293,
2018-5-20 12:53:11.00000,4084085.06079,521328.78591,50.56508,
2018-5-20 12:53:12.00000,4084085.06058,521328.78768,50.56554,
2018-5-20 12:53:13.00000,4084085.05754,521328.78794,50.56742,
